image,true_label,predicted_label,dog_probability,correct
cat.103.jpg,cat,cat,0.00010535657012801874,True
cat.110.jpg,cat,cat,0.0019364200041335194,True
cat.111.jpg,cat,cat,0.00048257979310732115,True
cat.112.jpg,cat,cat,0.11903488537241567,True
cat.118.jpg,cat,cat,0.04313885287851963,True
cat.119.jpg,cat,cat,0.0014174188669324194,True
cat.129.jpg,cat,cat,0.09029061230828257,True
cat.13.jpg,cat,cat,0.021384148890864294,True
cat.130.jpg,cat,cat,0.01243596366825835,True
cat.135.jpg,cat,cat,0.0001925169830735363,True
cat.142.jpg,cat,cat,0.0040531255497350885,True
cat.186.jpg,cat,cat,3.7300860329991e-05,True
cat.190.jpg,cat,cat,0.002446102987019598,True
cat.197.jpg,cat,cat,0.00024778687270566327,True
cat.198.jpg,cat,cat,0.04534202784848522,True
cat.20.jpg,cat,cat,0.002737474527737963,True
cat.220.jpg,cat,cat,2.9518512793429817e-05,True
cat.221.jpg,cat,cat,0.0026884110852800325,True
cat.223.jpg,cat,cat,0.00026142741673917453,True
cat.225.jpg,cat,cat,0.002194560786669969,True
